Date,Close,High,Low,Open,Volume
1/1/2008,222.1699982,222.7400055,221.1199951,221.6199951,0
1/2/2008,216.5,222.2200012,216.4499969,222.1799927,0
1/3/2008,216.1300049,217.5769958,213.6499939,216.4799957,0
1/4/2008,214.4100037,216.75,213.6499939,216.1399994,0
1/7/2008,214.8200073,216.1399994,214.0399933,214.0399933,0
1/8/2008,214.8399963,217.2599945,214.5599976,214.8200073,0
1/9/2008,215.0200043,216.3800049,213.8300018,214.8500061,0
1/10/2008,214.9700012,215.9400024,213.6100006,215.0299988,0
1/11/2008,213.7100067,215.0800018,212.1300049,215.0200043,0
1/14/2008,211.5099945,213.3800049,210.75,213.2799988,0
1/15/2008,208.9470062,211.9900055,208.7700043,211.5,0
1/16/2008,210.6399994,211.8699951,207.0399933,208.9600067,0
1/17/2008,209.5899963,212.3500061,209.5700073,210.6600037,0
1/18/2008,208.6999969,211.4559937,208.1799927,209.6300049,0
1/22/2008,209.8899994,209.9799957,204.8200073,208.3800049,0
1/23/2008,208.8370056,210.3600006,204.7929993,209.9100037,0
1/24/2008,211.9299927,211.9600067,207.1199951,208.8600006,0
1/25/2008,211.4900055,213.9799957,211.1499939,211.9299927,0
1/28/2008,212.2799988,212.6100006,209.4400024,212,0
1/29/2008,212.9400024,213.1999969,210.9329987,212.3500061,0
1/30/2008,210.6999969,213.6199951,210.4900055,212.9499969,0
1/31/2008,211.4199982,212.4299927,210.0399933,210.6799927,0
2/1/2008,209.4100037,212.2599945,208.9799957,211.5500031,0
2/4/2008,210.6600037,211.6999969,209.4100037,209.4100037,0
2/5/2008,209.2799988,212.0200043,209,210.6699982,0
2/6/2008,208.4900055,209.6000061,207.9400024,209.2200012,0
2/7/2008,208.4199982,209.3200073,205.9400024,208.5299988,0
2/8/2008,208.8699951,209.8000031,208.2299957,208.3699951,0
2/11/2008,208.25,209.2599945,206.8399963,209.1399994,0
2/12/2008,210.3699951,210.9299927,207.9400024,208.2799988,0
2/13/2008,212.4199982,212.7299957,209.3899994,210.3800049,0
2/14/2008,212.2799988,213.7200012,211.9199982,212.4199982,0
2/15/2008,211.1799927,213.2400055,210.5200043,212.2400055,0
2/18/2008,211,211.7400055,210.6300049,211.1100006,0
2/19/2008,210.2200012,211.0399933,208.8300018,210.9400024,0
2/20/2008,209.8200073,210.8600006,209.1199951,210.2400055,0
2/21/2008,210.8800049,211.8399963,209.7100067,209.8500061,0
2/22/2008,210.7799988,211.4299927,210.0800018,210.8999939,0
2/25/2008,212.4100037,212.7799988,210.5800018,211.2899933,0
2/26/2008,213.3899994,213.4199982,211.8099976,212.4100037,0
2/27/2008,210.9400024,213.3099976,210.6499939,213.3099976,0
